"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"39";"2022-06-03 00:00:00";"2024-03-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Энгельса,   0.05 км юго-западнее дома 116 литера А, рекламная конструкция ООО """"Лига Сервис""""";"0";"0";"0";"60.03476";"30.32082";"0";"";"";"";"19304";"47540169";"";"10";"69";"2";"1";"1800";"13";"16";"45";"1";"8";"2";"";"";"0";"";"";"";"";"";"";"";""
"39";"2022-05-31 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Сланцевский, г. Сланцы, ул. Школьная,   0.04 км юго-западнее дома 14-1, столб";"0";"0";"0";"59.10773";"28.16803";"0";"";"";"";"280";"43849";"";"295";"62";"3";"20";"2100";"35";"17";"45";"1";"7";"1";"RNC_78_27";"";"0";"";"BTS_78_04384_GDULN";"";"";"";"";"";""
"39";"2022-05-31 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ш. Пулковское, д. 50/литера А";"0";"0";"0";"59.80408";"30.32712";"0";"";"";"";"19355";"51288266";"";"140";"69";"2";"1";"1800";"13";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_0344_GULTN";"";"";"";"";"";""
"39";"2022-05-31 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ш. Пулковское, д. 50/литера А";"0";"0";"0";"59.80408";"30.32712";"0";"";"";"";"19355";"51288265";"";"45";"69";"2";"1";"1800";"13";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_0344_GULTN";"";"";"";"";"";""
"39";"2022-05-31 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ш. Пулковское, д. 50/литера А";"0";"0";"0";"59.80408";"30.32712";"0";"";"";"";"17855";"51288069";"";"295";"69";"2";"13";"1800";"14";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_0344_GULTN";"";"";"";"";"";""
"39";"2022-05-30 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Сланцевский, г. Сланцы, ул. Школьная,   0.04 км юго-западнее дома 14-1, столб";"0";"0";"0";"59.10773";"28.16803";"0";"";"";"";"17854";"56285189";"";"295";"63";"3";"13";"1800";"35";"17";"45";"1";"7";"2";"";"";"0";"";"BTS_78_04384_GDULN";"";"";"";"";"";""
"39";"2022-05-27 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пер. Огородный,   0.03 км северо-восточнее дома 4 корпус 3 литера А, столб";"0";"0";"0";"59.88822";"30.27278";"0";"";"";"";"17838";"56299521";"";"200";"61";"3";"13";"2600";"19";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_04039_GULN";"";"";"";"";"";""
"39";"2022-05-27 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пер. Огородный,   0.03 км северо-восточнее дома 4 корпус 3 литера А, столб";"0";"0";"0";"59.88822";"30.27278";"0";"";"";"";"260";"40393";"";"320";"61";"3";"20";"900";"19";"13";"45";"1";"16";"0";"BSC_78_52";"0";"0";"";"BTS_78_04039_GULN";"1023";"";"";"";"";""
"39";"2022-05-27 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Московский, д. 139/к.1/стр. 1";"0";"0";"0";"59.87978";"30.31817";"0";"";"";"";"17842";"50474521";"";"0";"0";"0";"13";"2100";"3";"5";"";"0";"100";"2";"";"";"1";"";"BTS_78_2834_UL_2";"";"";"";"";"";""
"39";"2022-05-26 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Кржижановского, д. 3/к.1/литера А";"0";"0";"0";"59.93209";"30.46914";"0";"";"";"";"17851";"51239193";"";"270";"66";"3";"13";"2100";"15";"17";"45";"1";"7";"2";"";"";"0";"";"BTS_78_0153_GDULN";"";"";"";"";"";""
